record_num,timestamp,open,high,low,close,buy_count,sell_count,volume,volume_delta,cumulative_volume_delta,cumulative_volume
454,2025-06-12 01:56:00,6065.75,6066.50,6065.75,6066.25,5,3,8,2,-133,8800
455,2025-06-12 01:57:00,6066.75,6069.25,6065.75,6066.75,85,58,143,27,-106,8943
456,2025-06-12 01:58:00,6067.00,6067.50,6066.75,6067.25,15,5,20,10,-96,8963
457,2025-06-12 01:59:00,6066.50,6066.75,6066.25,6066.75,14,12,26,2,-94,8989
458,2025-06-12 02:00:00,6066.50,6066.50,6064.25,6064.25,8,10,18,-2,-96,9007
459,2025-06-12 02:01:00,6064.00,6064.00,6062.00,6062.50,22,24,46,-2,-98,9053
460,2025-06-12 02:02:00,6062.25,6064.25,6062.25,6064.00,12,10,22,2,-96,9075
461,2025-06-12 02:03:00,6063.75,6065.25,6063.75,6065.00,9,8,17,1,-95,9092
462,2025-06-12 02:04:00,6064.75,6065.00,6063.25,6063.50,13,9,22,4,-91,9114
463,2025-06-12 02:05:00,6063.50,6064.25,6063.25,6063.25,10,10,20,0,-91,9134
464,2025-06-12 02:06:00,6063.00,6063.00,6062.50,6062.75,8,2,10,6,-85,9144
465,2025-06-12 02:07:00,6063.00,6063.00,6063.00,6063.00,2,1,3,1,-84,9147
466,2025-06-12 02:08:00,6063.00,6065.00,6063.00,6064.00,22,7,29,15,-69,9176
467,2025-06-12 02:09:00,6064.00,6064.00,6063.25,6063.75,10,10,20,0,-69,9196
468,2025-06-12 02:10:00,6063.25,6064.00,6062.25,6063.75,17,15,32,2,-67,9228
469,2025-06-12 02:11:00,6063.50,6065.00,6063.25,6065.00,6,9,15,-3,-70,9243
470,2025-06-12 02:12:00,6065.50,6065.75,6064.75,6065.25,6,7,13,-1,-71,9256
471,2025-06-12 02:13:00,6064.75,6064.75,6064.50,6064.50,1,4,5,-3,-74,9261
472,2025-06-12 02:14:00,6064.75,6066.00,6064.75,6066.00,18,14,32,4,-70,9293
473,2025-06-12 02:15:00,6066.00,6068.00,6066.00,6067.50,51,27,78,24,-46,9371
474,2025-06-12 02:16:00,6067.00,6067.75,6067.00,6067.00,23,17,40,6,-40,9411
475,2025-06-12 02:17:00,6066.75,6066.75,6066.00,6066.00,1,5,6,-4,-44,9417
476,2025-06-12 02:18:00,6066.00,6066.25,6066.00,6066.25,2,5,7,-3,-47,9424
477,2025-06-12 02:19:00,6066.00,6067.25,6066.00,6067.25,11,8,19,3,-44,9443
478,2025-06-12 02:20:00,6067.25,6067.25,6066.50,6066.50,10,11,21,-1,-45,9464
479,2025-06-12 02:21:00,6066.25,6067.00,6066.00,6066.75,4,7,11,-3,-48,9475
480,2025-06-12 02:22:00,6066.25,6066.25,6065.50,6066.25,8,8,16,0,-48,9491
481,2025-06-12 02:23:00,6066.50,6066.75,6066.50,6066.75,3,0,3,3,-45,9494
482,2025-06-12 02:24:00,6066.50,6066.75,6066.50,6066.50,3,2,5,1,-44,9499
483,2025-06-12 02:25:00,6066.75,6067.25,6066.75,6066.75,5,4,9,1,-43,9508
484,2025-06-12 02:26:00,6066.75,6066.75,6066.50,6066.75,5,3,8,2,-41,9516
485,2025-06-12 02:27:00,6066.50,6066.50,6065.75,6065.75,3,9,12,-6,-47,9528
486,2025-06-12 02:28:00,6066.00,6066.25,6065.75,6065.75,5,6,11,-1,-48,9539
487,2025-06-12 02:29:00,6065.25,6065.25,6064.25,6064.50,11,10,21,1,-47,9560
488,2025-06-12 02:30:00,6064.00,6064.50,6063.00,6064.25,13,17,30,-4,-51,9590
489,2025-06-12 02:31:00,6063.75,6065.00,6063.75,6065.00,8,6,14,2,-49,9604
